region;DUMB;ARIMA;TBATS;holt;CSsplines;GRU_U;GRU_R;GRU_N;GRU_F_Measures;GRU_F;PT_U;PT_R;PT_N;PT_F_Measures;PT_F;RF_U;RF_R;RF_N;RF_F_Measures;RF_F
Alentejo;57301.5;67301.0;66464.4;77848.4;46505.9;24018.9;19093.1;16259.7;15973.9;13498.2;36960.4;27403.9;28426.6;24235.8;19137.9;27987.5;33091.8;33342.8;38779.9;20976.3
Algarve;46510.9;38659.4;37968.9;45657.0;29608.0;17103.8;13751.6;12294.0;16993.8;18346.7;32920.3;51754.7;49977.5;48912.0;43577.9;32469.5;33674.2;51101.9;49709.4;38336.4
Regiao Autonoma Dos Acores;4298.9;7849.3;5314.4;6795.8;8211.2;7659.1;7614.9;6966.8;8538.4;23843.5;7932.4;7069.0;9285.9;7098.4;8522.1;10058.5;26849.5;23736.2;23121.1;39118.2
Centro;82574.2;89078.0;101568.6;91631.3;69126.0;34315.4;29122.2;22087.3;22727.8;16101.2;64699.2;37958.9;43209.1;33611.8;24880.1;49036.0;46681.7;48681.1;53322.6;26365.9
Area Metropolitana De Lisboa;117761.5;136564.1;141973.6;161181.5;115809.1;47772.9;43695.8;35254.0;33902.9;16287.9;86274.2;55436.3;57845.1;52141.5;41127.3;48658.6;49558.2;65482.4;65143.3;39920.8
Regiao Autonoma Da Madeira;13930.0;17432.1;16624.6;21639.4;31355.9;16327.2;18505.9;18368.6;16688.4;13014.7;26491.4;28959.8;25521.0;18903.1;30201.8;15010.5;20517.2;23664.0;23597.0;20014.8
Norte;75642.6;52720.7;65522.6;68446.0;59848.7;36885.6;39085.3;38283.5;34711.6;39641.7;186496.5;101984.5;110631.1;114196.6;55319.4;32302.9;43792.7;43333.0;39430.5;20862.4
global;56859.9;58514.9;62205.3;67599.9;51495.0;26297.6;24409.8;21359.1;21362.4;20104.9;63110.6;44366.7;46413.8;42728.5;31823.8;30789.1;36309.3;41334.5;41872.0;29370.7
region;DUMB;ARIMA;TBATS;holt;CSsplines;GRU_U;GRU_R;GRU_N;GRU_F_Measures;GRU_F;PT_U;PT_R;PT_N;PT_F_Measures;PT_F;RF_U;RF_R;RF_N;RF_F_Measures;RF_F
Alentejo;57301.5;67301.0;66464.4;77848.4;46505.9;24018.9;19093.1;16259.7;15973.9;13498.2;36960.4;27403.9;28426.6;24235.8;19137.9;27987.5;33091.8;33342.8;38779.9;20976.3
Algarve;46510.9;38659.4;37968.9;45657.0;29608.0;17103.8;13751.6;12294.0;16993.8;18346.7;32920.3;51754.7;49977.5;48912.0;43577.9;32469.5;33674.2;51101.9;49709.4;38336.4
Regiao Autonoma Dos Acores;4298.9;7849.3;5314.4;6795.8;8211.2;7659.1;7614.9;6966.8;8538.4;23843.5;7932.4;7069.0;9285.9;7098.4;8522.1;10058.5;26849.5;23736.2;23121.1;39118.2
Centro;82574.2;89078.0;101568.6;91631.3;69126.0;34315.4;29122.2;22087.3;22727.8;16101.2;64699.2;37958.9;43209.1;33611.8;24880.1;49036.0;46681.7;48681.1;53322.6;26365.9
Area Metropolitana De Lisboa;117761.5;136564.1;141973.6;161181.5;115809.1;47772.9;43695.8;35254.0;33902.9;16287.9;86274.2;55436.3;57845.1;52141.5;41127.3;48658.6;49558.2;65482.4;65143.3;39920.8
Regiao Autonoma Da Madeira;13930.0;17432.1;16624.6;21639.4;31355.9;16327.2;18505.9;18368.6;16688.4;13014.7;26491.4;28959.8;25521.0;18903.1;30201.8;15010.5;20517.2;23664.0;23597.0;20014.8
Norte;75642.6;52720.7;65522.6;68446.0;59848.7;36885.6;39085.3;38283.5;34711.6;39641.7;186496.5;101984.5;110631.1;114196.6;55319.4;32302.9;43792.7;43333.0;39430.5;20862.4
global;56859.9;58514.9;62205.3;67599.9;51495.0;26297.6;24409.8;21359.1;21362.4;20104.9;63110.6;44366.7;46413.8;42728.5;31823.8;30789.1;36309.3;41334.5;41872.0;29370.7
;;;;;;;;;;;;;;;;;;;;
region;DUMB;ARIMA;TBATS;holt;CSsplines;GRU_U;GRU_R;GRU_N;GRU_F_Measures;GRU_F;PT_U;PT_R;PT_N;PT_F_Measures;PT_F;RF_U;RF_R;RF_N;RF_F_Measures;RF_F
Alentejo;57301,5;67301;66464,4;77848,4;46505,9;24018,9;19093,1;16259,7;15973,9;13498,2;36960,4;27403,9;28426,6;24235,8;19137,9;27987,5;33091,8;33342,8;38779,9;20976,3
Algarve;46510,9;38659,4;37968,9;45657;29608;17103,8;13751,6;12294;16993,8;18346,7;32920,3;51754,7;49977,5;48912;43577,9;32469,5;33674,2;51101,9;49709,4;38336,4
Area Metropolitana De Lisboa;117761,5;136564,1;141973,6;161181,5;115809,1;47772,9;43695,8;35254;33902,9;16287,9;86274,2;55436,3;57845,1;52141,5;41127,3;48658,6;49558,2;65482,4;65143,3;39920,8
Centro;82574,2;89078;101568,6;91631,3;69126;34315,4;29122,2;22087,3;22727,8;16101,2;64699,2;37958,9;43209,1;33611,8;24880,1;49036;46681,7;48681,1;53322,6;26365,9
Norte;75642,6;52720,7;65522,6;68446;59848,7;36885,6;39085,3;38283,5;34711,6;39641,7;186496,5;101984,5;110631,1;114196,6;55319,4;32302,9;43792,7;43333;39430,5;20862,4
Regiao Autonoma Da Madeira;13930;17432,1;16624,6;21639,4;31355,9;16327,2;18505,9;18368,6;16688,4;13014,7;26491,4;28959,8;25521;18903,1;30201,8;15010,5;20517,2;23664;23597;20014,8
Regiao Autonoma Dos Acores;4298,9;7849,3;5314,4;6795,8;8211,2;7659,1;7614,9;6966,8;8538,4;23843,5;7932,4;7069;9285,9;7098,4;8522,1;10058,5;26849,5;23736,2;23121,1;39118,2
global;56859,9;58514,9;62205,3;67599,9;51495;26297,6;24409,8;21359,1;21362,4;20104,9;63110,6;44366,7;46413,8;42728,5;31823,8;30789,1;36309,3;41334,5;41872.0;29370,7
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
